playlist_genre                                                                                                                                                                                                                                                   track_popularity danceability           energy                 loudness               acousticness           instrumentalness       liveness               valence                tempo                  duration_ms
pop                                                                                                                                                                                                                                                              83               0.58                   0.565                  -7.065                 0.0671                 0                      0.135                  0.138                  112.986                242253
pop                                                                                                                                                                                                                                                              72               0.608                  0.798                  -5.092                 0.0736                 0                      0.156                  0.501                  92.943                 185352
pop                                                                                                                                                                                                                                                              78               0.845                  0.567                  -8.118                 0.59                   0.00142                0.0811                 0.793                  125.02                 205680
pop                                                                                                                                                                                                                                                              76               0.874                  0.692                  -5.28                  0.0412                 7.24E-05               0.324                  0.937                  116.017                178560
pop                                                                                                                                                                                                                                                              84               0.816                  0.726                  -3.998                 0.099                  0                      0.372                  0.65                   136.048                253390
pop                                                                                                                                                                                                                                                              77               0.725                  0.534                  -6.238                 0.0752                 0                      0.0919                 0.558                  91.974                 219320
pop                                                                                                                                                                                                                                                              78               0.706                  0.786                  -3.417                 0.26                   0                      0.38                   0.749                  150.035                199387
pop                                                                                                                                                                                                                                                              49               0.963                  0.603                  -6.224                 0.0673                 5.93E-06               0.214                  0.647                  129.99                 260240
pop                                                                                                                                                                                                                                                              63               0.764                  0.718                  -5.18                  0.00261                1.11E-05               0.113                  0.596                  116.01                 212000
pop                                                                                                                                                                                                                                                              67               0.707                  0.861                  -4.225                 0.1                    0                      0.191                  0.795                  130.021                199480
pop                                                                                                                                                                                                                                                              25               0.666                  0.93                   -4.201                 0.0257                 0.012                  0.054                  0.461                  127.978                281430
pop                                                                                                                                                                                                                                                              74               0.584                  0.89                   -5.941                 0.047                  0.814                  0.309                  0.466                  126.04                 199907
pop                                                                                                                                                                                                                                                              65               0.84                   0.482                  -7.116                 0.202                  0                      0.0873                 0.957                  95.498                 243053
pop                                                                                                                                                                                                                                                              68               0.69                   0.786                  -2.959                 0.229                  0                      0.0797                 0.583                  100.049                263173
pop                                                                                                                                                                                                                                                              58               0.781                  0.853                  -3.68                  0.0525                 0                      0.12                   0.624                  110.049                250189
pop                                                                                                                                                                                                                                                              60               0.835                  0.552                  -5.662                 0.0474                 0                      0.0767                 0.531                  97.004                 218173
pop                                                                                                                                                                                                                                                              84               0.765                  0.523                  -4.333                 0.184                  3.56E-05               0.132                  0.394                  104.988                217307
pop                                                                                                                                                                                                                                                              76               0.53                   0.422                  -6.262                 0.407                  0                      0.107                  0.349                  119.964                221360
pop                                                                                                                                                                                                                                                              80               0.689                  0.481                  -7.503                 0.369                  1.03E-06               0.0649                 0.283                  80.025                 229526
pop                                                                                                                                                                                                                                                              74               0.684                  0.834                  -4.524                 0.0646                 0                      0.271                  0.538                  164.02                 217667
pop                                                                                                                                                                                                                                                              70               0.674                  0.915                  -3.999                 0.0282                 0.00337                0.273                  0.78                   126.038                191293
pop                                                                                                                                                                                                                                                              78               0.818                  0.803                  -4.282                 0.034                  0                      0.153                  0.632                  106.97                 225983
pop                                                                                                                                                                                                                                                              76               0.782                  0.685                  -6.237                 0.166                  1.18E-05               0.16                   0.603                  118.016                180566
pop                                                                                                                                                                                                                                                              63               0.466                  0.852                  -4.487                 0.00774                2.6E-06                0.0989                 0.428                  164.032                217613
pop                                                                                                                                                                                                                                                              55               0.776                  0.574                  -9.882                 0.466                  7.83E-05               0.131                  0.412                  121.03                 138843
pop                                                                                                                                                                                                                                                              73               0.772                  0.685                  -6.849                 0.019                  8.96E-05               0.131                  0.501                  130.033                283400
pop                                                                                                                                                                                                                                                              73               0.585                  0.972                  -4.45                  0.0143                 0                      0.0707                 0.585                  110.006                230253
pop                                                                                                                                                                                                                                                              71               0.668                  0.718                  -4.736                 0.0165                 0                      0.104                  0.345                  91.993                 192200
pop                                                                                                                                                                                                                                                              87               0.717                  0.653                  -5.634                 0.229                  0                      0.101                  0.412                  106.966                207320
pop                                                                                                                                                                                                                                                              74               0.758                  0.686                  -6.346                 0.0848                 0.00127                0.142                  0.444                  130.007                230907
pop                                                                                                                                                                                                                                                              71               0.615                  0.911                  -3.584                 0.0686                 0.00188                0.0908                 0.685                  108                    205400
pop                                                                                                                                                                                                                                                              84               0.908                  0.621                  -6.638                 0.000282               5.39E-05               0.0958                 0.421                  150.011                177000
pop                                                                                                                                                                                                                                                              68               0.627                  0.703                  -4.884                 0.563                  0                      0.0962                 0.64                   81.897                 217307
pop                                                                                                                                                                                                                                                              82               0.696                  0.521                  -8.465                 0.302                  0                      0.0565                 0.458                  100                    292987
pop                                                                                                                                                                                                                                                              52               0.614                  0.379                  -10.48                 0.607                  0.000464               0.0986                 0.201                  107.989                258987
pop                                                                                                                                                                                                                                                              85               0.358                  0.557                  -7.398                 0.695                  0                      0.0902                 0.494                  85.043                 211467
pop                                                                                                                                                                                                                                                              72               0.495                  0.894                  -4.814                 0.00453                0.000596               0.103                  0.213                  126.03                 239894
pop                                                                                                                                                                                                                                                              60               0.533                  0.755                  -7.25                  0.0332                 0                      0.233                  0.472                  86.034                 255907
pop                                                                                                                                                                                                                                                              83               0.699                  0.713                  -5.507                 0.04                   3.11E-06               0.294                  0.354                  121.993                205920
pop                                                                                                                                                                                                                                                              57               0.656                  0.931                  -4.188                 0.0613                 0                      0.219                  0.534                  91.881                 207653
pop                                                                                                                                                                                                                                                              57               0.792                  0.688                  -4.008                 0.00435                0.00477                0.0972                 0.502                  124.987                159560
pop                                                                                                                                                                                                                                                              68               0.746                  0.873                  -3.803                 0.0244                 0                      0.354                  0.817                  148.075                222093
pop                                                                                                                                                                                                                                                              84               0.63                   0.804                  -4.183                 0.215                  0                      0.253                  0.492                  123.146                220293
pop                                                                                                                                                                                                                                                              74               0.576                  0.766                  -4.943                 0.028                  1.68E-06               0.366                  0.236                  144.833                246761
pop                                                                                                                                                                                                                                                              76               0.794                  0.632                  -6.163                 0.142                  0                      0.128                  0.355                  145.926                291893
pop                                                                                                                                                                                                                                                              9                0.896                  0.623                  -8.008                 0.00257                0.000258               0.039                  0.585                  134.962                267024
pop                                                                                                                                                                                                                                                              6                0.598                  0.532                  -6.833                 0.0668                 3.22E-06               0.0617                 0.261                  74.963                 262521
pop                                                                                                                                                                                                                                                              67               0.608                  0.614                  -3.727                 0.227                  4.06E-06               0.157                  0.402                  127.884                208133
pop                                                                                                                                                                                                                                                              53               0.693                  0.891                  -3.261                 0.0281                 0                      0.143                  0.532                  91.1                   268053
pop                                                                                                                                                                                                                                                              79               0.606                  0.799                  -4.452                 0.0128                 0                      0.15                   0.638                  103.014                232907
pop                                                                                                                                                                                                                                                              13               0.567                  0.925                  -2.775                 0.00239                0.0054                 0.348                  0.704                  118.006                182840
pop                                                                                                                                                                                                                                                              59               0.617                  0.732                  -6.737                 0.0278                 0                      0.125                  0.723                  84.977                 208947
pop                                                                                                                                                                                                                                                              60               0.655                  0.856                  -4.615                 0.148                  3.67E-06               0.126                  0.941                  126.984                177147
pop                                                                                                                                                                                                                                                              24               0.758                  0.805                  -4.725                 0.0343                 1.37E-05               0.0458                 0.587                  107.935                178377
pop                                                                                                                                                                                                                                                              69               0.566                  0.676                  -6.498                 0.0147                 0.00672                0.0733                 0.0492                 127.973                234812
pop                                                                                                                                                                                                                                                              35               0.554                  0.768                  -6.042                 0.00794                0.0145                 0.356                  0.753                  150.062                206223
pop                                                                                                                                                                                                                                                              68               0.753                  0.41                   -10.636                0.816                  0.00217                0.104                  0.231                  93.001                 206437
pop                                                                                                                                                                                                                                                              73               0.783                  0.537                  -2.921                 0.278                  0                      0.229                  0.393                  113.988                222866
pop                                                                                                                                                                                                                                                              85               0.746                  0.45                   -8.543                 0.0407                 0                      0.172                  0.336                  95.998                 232853
pop                                                                                                                                                                                                                                                              68               0.695                  0.695                  -6.612                 0.489                  0.00019                0.131                  0.468                  100.021                189787
pop                                                                                                                                                                                                                                                              38               0.559                  0.799                  -5.807                 0.000397               0.00958                0.0609                 0.367                  116.975                202532
pop                                                                                                                                                                                                                                                              70               0.667                  0.824                  -5.867                 0.177                  0.0152                 0.0933                 0.518                  114.998                207851
pop                                                                                                                                                                                                                                                              29               0.46                   0.966                  -3.292                 0.00386                2.54E-06               0.451                  0.299                  119.987                251338
pop                                                                                                                                                                                                                                                              33               0.562                  0.717                  -8.215                 0.0322                 8.98E-05               0.103                  0.274                  136.949                232414
pop                                                                                                                                                                                                                                                              72               0.72                   0.658                  -7.414                 0.0329                 0.0302                 0.123                  0.134                  98.001                 171898
pop                                                                                                                                                                                                                                                              51               0.631                  0.786                  -5.267                 0.00716                0                      0.12                   0.761                  102.027                226335
pop                                                                                                                                                                                                                                                              57               0.309                  0.793                  -6.195                 0.0902                 0.092                  0.0888                 0.532                  193.714                248240
pop                                                                                                                                                                                                                                                              42               0.659                  0.9                    -4.399                 0.0251                 1.67E-05               0.129                  0.568                  90.011                 198678
pop                                                                                                                                                                                                                                                              34               0.358                  0.644                  -4.576                 0.0346                 0                      0.0845                 0.205                  104.817                224390
pop                                                                                                                                                                                                                                                              30               0.414                  0.581                  -8.051                 0.0687                 0.00315                0.0947                 0.172                  104.949                265067
pop                                                                                                                                                                                                                                                              38               0.545                  0.811                  -6.412                 0.00303                8.1E-05                0.0886                 0.387                  150.035                278463
pop                                                                                                                                                                                                                                                              16               0.499                  0.856                  -6.352                 0.0272                 3.47E-06               0.397                  0.398                  108.952                181853
pop                                                                                                                                                                                                                                                              55               0.464                  0.921                  -3.539                 0.00654                0                      0.127                  0.461                  144.127                263285
pop                                                                                                                                                                                                                                                              34               0.608                  0.678                  -7.655                 0.283                  0                      0.12                   0.476                  86.936                 188001
pop                                                                                                                                                                                                                                                              50               0.626                  0.598                  -7.15                  0.056                  0                      0.164                  0.472                  75.943                 188341
pop                                                                                                                                                                                                                                                              33               0.827                  0.515                  -8.756                 0.22                   6.13E-05               0.274                  0.753                  112.011                151369
pop                                                                                                                                                                                                                                                              64               0.631                  0.466                  -7.916                 0.482                  0                      0.213                  0.321                  135.817                181291
pop                                                                                                                                                                                                                                                              31               0.657                  0.811                  -5.437                 0.0665                 1.41E-06               0.312                  0.63                   119.995                187625
pop                                                                                                                                                                                                                                                              54               0.592                  0.84                   -4.697                 0.0193                 0.000191               0.327                  0.679                  103.026                252480
pop                                                                                                                                                                                                                                                              68               0.706                  0.68                   -4.65                  0.118                  0                      0.0443                 0.728                  105.977                196667
pop                                                                                                                                                                                                                                                              69               0.636                  0.623                  -7.016                 0.468                  0.00453                0.351                  0.389                  100.026                211150
pop                                                                                                                                                                                                                                                              14               0.577                  0.811                  -5.123                 0.0394                 0                      0.11                   0.666                  92.002                 181421
pop                                                                                                                                                                                                                                                              2                0.413                  0.569                  -8.921                 0.296                  0.0107                 0.0911                 0.0504                 154.815                227040
pop                                                                                                                                                                                                                                                              10               0.244                  0.645                  -5.863                 0.00178                0.00574                0.301                  0.529                  183.577                188307
pop                                                                                                                                                                                                                                                              16               0.671                  0.763                  -5.877                 0.607                  2.16E-05               0.495                  0.469                  149.87                 203113
pop                                                                                                                                                                                                                                                              67               0.623                  0.763                  -4.412                 0.199                  6.52E-06               0.126                  0.199                  108.871                226610
pop                                                                                                                                                                                                                                                              30               0.621                  0.769                  -3.91                  0.109                  0                      0.133                  0.566                  130.05                 229569
pop                                                                                                                                                                                                                                                              57               0.642                  0.453                  -8.333                 0.329                  0                      0.0721                 0.496                  82.046                 257015
pop                                                                                                                                                                                                                                                              44               0.426                  0.476                  -6.64                  0.185                  0                      0.327                  0.169                  179.793                232759
pop                                                                                                                                                                                                                                                              78               0.732                  0.856                  -2.2                   0.0828                 0                      0.323                  0.771                  145.034                177670
pop                                                                                                                                                                                                                                                              37               0.724                  0.497                  -6.397                 0.0544                 0                      0.212                  0.576                  154.859                224613
pop                                                                                                                                                                                                                                                              48               0.67                   0.558                  -7.615                 0.0572                 0.0196                 0.106                  0.437                  106.081                269119
pop                                                                                                                                                                                                                                                              60               0.762                  0.619                  -5.227                 0.501                  2.19E-05               0.248                  0.596                  120.022                219493
pop                                                                                                                                                                                                                                                              63               0.577                  0.827                  -7.54                  0.00338                0.000647               0.26                   0.179                  101.031                215520
pop                                                                                                                                                                                                                                                              57               0.619                  0.833                  -4.941                 0.0122                 0                      0.24                   0.527                  93.01                  196953
pop                                                                                                                                                                                                                                                              46               0.346                  0.928                  -5.074                 0.00244                0                      0.685                  0.416                  163.949                165593
pop                                                                                                                                                                                                                                                              16               0.62                   0.655                  -8.525                 0.024                  4.19E-05               0.301                  0.335                  109.987                203107
