playlist_genre                                                                                                                                                                                                                                                   track_popularity danceability           energy                 loudness               acousticness           instrumentalness       liveness               valence                tempo                  duration_ms
rap                                                                                                                                                                                                                                                              3                0.745                  0.595                  -6.35                  0.00483                1.13E-05               0.125                  0.169                  110.966                212027
rap                                                                                                                                                                                                                                                              77               0.713                  0.526                  -5.046                 0.00767                0.000148               0.124                  0.131                  131.05                 262693
rap                                                                                                                                                                                                                                                              76               0.728                  0.607                  -8.417                 0.133                  0                      0.0864                 0.445                  129.938                176702
rap                                                                                                                                                                                                                                                              73               0.824                  0.584                  -7.098                 0.0718                 0                      0.106                  0.219                  139.965                188600
rap                                                                                                                                                                                                                                                              74               0.822                  0.505                  -7.384                 0.0317                 0.000911               0.114                  0.523                  73.003                 210200
rap                                                                                                                                                                                                                                                              60               0.76                   0.595                  -6.366                 0.00544                0                      0.241                  0.361                  131.497                263773
rap                                                                                                                                                                                                                                                              64               0.689                  0.657                  -3.632                 0.127                  0                      0.166                  0.234                  77.509                 188832
rap                                                                                                                                                                                                                                                              60               0.926                  0.661                  -5.688                 0.313                  0                      0.115                  0.561                  129.969                139376
rap                                                                                                                                                                                                                                                              69               0.581                  0.642                  -5.318                 0.0519                 0                      0.183                  0.536                  80.142                 345160
rap                                                                                                                                                                                                                                                              84               0.908                  0.621                  -6.638                 0.000282               5.39E-05               0.0958                 0.421                  150.011                177000
rap                                                                                                                                                                                                                                                              72               0.921                  0.467                  -8.443                 0.0149                 0.000238               0.334                  0.287                  135.995                191252
rap                                                                                                                                                                                                                                                              74               0.712                  0.562                  -6.008                 0.125                  0                      0.136                  0.142                  140                    236480
rap                                                                                                                                                                                                                                                              76               0.892                  0.651                  -8.645                 0.0989                 0                      0.371                  0.599                  105.814                253580
rap                                                                                                                                                                                                                                                              66               0.905                  0.575                  -8.64                  0.067                  2.22E-05               0.0602                 0.365                  115.031                278520
rap                                                                                                                                                                                                                                                              5                0.669                  0.521                  -8.732                 0.236                  0                      0.0802                 0.327                  130.071                255173
rap                                                                                                                                                                                                                                                              48               0.511                  0.491                  -8.322                 0.105                  0                      0.114                  0.711                  103.961                188721
rap                                                                                                                                                                                                                                                              80               0.8                    0.585                  -7.343                 0.264                  0                      0.153                  0.779                  126.058                213400
rap                                                                                                                                                                                                                                                              70               0.812                  0.628                  -6.164                 0.0634                 0                      0.254                  0.485                  123.004                207059
rap                                                                                                                                                                                                                                                              0                0.783                  0.59                   -8.067                 0.0255                 0                      0.123                  0.425                  78.494                 235414
rap                                                                                                                                                                                                                                                              52               0.639                  0.486                  -7.761                 0.0603                 0.000103               0.121                  0.227                  171.896                268240
rap                                                                                                                                                                                                                                                              79               0.872                  0.814                  -4.568                 0.00485                1.96E-06               0.214                  0.57                   98.985                 199427
rap                                                                                                                                                                                                                                                              69               0.858                  0.697                  -5.361                 0.114                  0                      0.224                  0.364                  98.012                 290836
rap                                                                                                                                                                                                                                                              80               0.765                  0.356                  -5.556                 0.222                  0                      0.0963                 0.19                   97.001                 198293
rap                                                                                                                                                                                                                                                              66               0.626                  0.526                  -4.112                 0.0485                 0.00627                0.107                  0.17                   127.977                176640
rap                                                                                                                                                                                                                                                              72               0.602                  0.725                  -3.054                 0.174                  0                      0.0786                 0.304                  122.803                239853
rap                                                                                                                                                                                                                                                              2                0.418                  0.687                  -4.293                 0.202                  0                      0.111                  0.549                  79.449                 238480
rap                                                                                                                                                                                                                                                              0                0.759                  0.496                  -7.639                 0.374                  0                      0.11                   0.56                   107.082                220133
rap                                                                                                                                                                                                                                                              79               0.53                   0.433                  -10.598                0.108                  0                      0.135                  0.274                  160.14                 194613
rap                                                                                                                                                                                                                                                              1                0.637                  0.67                   -5.484                 0.254                  5.43E-05               0.0829                 0.227                  122.999                237627
rap                                                                                                                                                                                                                                                              4                0.722                  0.331                  -7.789                 0.337                  0.283                  0.146                  0.102                  143.974                313547
rap                                                                                                                                                                                                                                                              59               0.82                   0.723                  -5.505                 0.0327                 0                      0.347                  0.417                  97.98                  284560
rap                                                                                                                                                                                                                                                              3                0.622                  0.593                  -7.755                 0.56                   0                      0.175                  0.369                  100.048                250200
rap                                                                                                                                                                                                                                                              73               0.616                  0.669                  -5.791                 0.0298                 0                      0.127                  0.275                  154.056                196112
rap                                                                                                                                                                                                                                                              70               0.831                  0.514                  -6.695                 0.203                  0.000156               0.115                  0.397                  114.94                 244340
rap                                                                                                                                                                                                                                                              57               0.722                  0.728                  -4.458                 0.198                  0                      0.482                  0.509                  123.057                284133
rap                                                                                                                                                                                                                                                              17               0.758                  0.448                  -9.441                 0.0309                 8.67E-05               0.558                  0.373                  77.176                 198960
rap                                                                                                                                                                                                                                                              63               0.799                  0.436                  -9.975                 0.283                  0.000105               0.0968                 0.311                  80.028                 217566
rap                                                                                                                                                                                                                                                              69               0.885                  0.94                   -5.908                 0.158                  0                      0.0675                 0.77                   110.005                162347
rap                                                                                                                                                                                                                                                              77               0.755                  0.599                  -5.042                 0.147                  0                      0.109                  0.755                  133.123                216632
rap                                                                                                                                                                                                                                                              70               0.895                  0.681                  -5.267                 0.157                  0                      0.189                  0.554                  121.918                240000
rap                                                                                                                                                                                                                                                              14               0.58                   0.531                  -6.631                 0.128                  0.000127               0.143                  0.141                  159.786                218320
rap                                                                                                                                                                                                                                                              75               0.618                  0.717                  -5.738                 0.00256                0                      0.625                  0.603                  190.05                 196693
rap                                                                                                                                                                                                                                                              63               0.861                  0.52                   -5.498                 0.193                  0                      0.109                  0.384                  153.899                177243
rap                                                                                                                                                                                                                                                              69               0.406                  0.661                  -5.142                 0.173                  0                      0.101                  0.335                  180.206                244613
rap                                                                                                                                                                                                                                                              6                0.473                  0.461                  -6.474                 0.149                  0                      0.0973                 0.615                  165.985                234213
rap                                                                                                                                                                                                                                                              74               0.585                  0.597                  -7.499                 0.339                  0.0404                 0.195                  0.227                  100.051                324674
rap                                                                                                                                                                                                                                                              68               0.748                  0.733                  -4.421                 0.0062                 0                      0.329                  0.291                  93.019                 312240
rap                                                                                                                                                                                                                                                              72               0.904                  0.756                  -3.746                 0.0692                 0                      0.339                  0.342                  140.005                288087
rap                                                                                                                                                                                                                                                              66               0.537                  0.624                  -8.794                 0.000175               2.2E-06                0.116                  0.409                  102.315                127427
rap                                                                                                                                                                                                                                                              3                0.721                  0.711                  -9.294                 0.000662               0                      0.347                  0.511                  107.998                156057
rap                                                                                                                                                                                                                                                              59               0.88                   0.569                  -5.497                 0.141                  0                      0.673                  0.141                  137.024                215345
rap                                                                                                                                                                                                                                                              64               0.807                  0.693                  -5.056                 0.0504                 7.75E-06               0.0762                 0.142                  127.035                218280
rap                                                                                                                                                                                                                                                              67               0.776                  0.762                  -4.356                 0.193                  0                      0.18                   0.678                  120.039                236000
rap                                                                                                                                                                                                                                                              46               0.833                  0.434                  -8.795                 0.0102                 0.0219                 0.165                  0.281                  150.062                204600
rap                                                                                                                                                                                                                                                              71               0.943                  0.595                  -8.372                 0.0673                 0                      0.0839                 0.815                  117.532                165291
rap                                                                                                                                                                                                                                                              63               0.8                    0.656                  -5.874                 0.0144                 0                      0.354                  0.436                  119.921                285894
rap                                                                                                                                                                                                                                                              74               0.794                  0.51                   -7.314                 0.0505                 1.81E-06               0.0562                 0.18                   167.879                194561
rap                                                                                                                                                                                                                                                              61               0.545                  0.601                  -7.85                  0.0454                 0                      0.164                  0.346                  95.848                 203613
rap                                                                                                                                                                                                                                                              70               0.925                  0.548                  -6.572                 0.394                  0.000128               0.11                   0.0922                 100.015                183160
rap                                                                                                                                                                                                                                                              70               0.737                  0.429                  -10.252                0.632                  0                      0.104                  0.147                  99.955                 185400
rap                                                                                                                                                                                                                                                              18               0.567                  0.913                  -6.471                 0.0934                 0.000124               0.114                  0.792                  93.35                  210926
rap                                                                                                                                                                                                                                                              67               0.709                  0.589                  -7.776                 0.0507                 0                      0.0585                 0.58                   133.922                278067
rap                                                                                                                                                                                                                                                              56               0.726                  0.607                  -7.68                  0.0389                 0                      0.19                   0.891                  81.997                 176744
rap                                                                                                                                                                                                                                                              5                0.644                  0.479                  -8.352                 0.169                  0                      0.639                  0.612                  79.929                 180680
rap                                                                                                                                                                                                                                                              64               0.64                   0.819                  -4.108                 0.533                  0                      0.156                  0.623                  166.012                234526
rap                                                                                                                                                                                                                                                              68               0.779                  0.572                  -9.985                 0.157                  0                      0.246                  0.647                  135.956                300160
rap                                                                                                                                                                                                                                                              68               0.816                  0.535                  -8.302                 0.147                  4.53E-06               0.176                  0.435                  80.012                 241267
rap                                                                                                                                                                                                                                                              1                0.893                  0.551                  -5.878                 0.455                  9.15E-06               0.351                  0.697                  99.986                 198053
rap                                                                                                                                                                                                                                                              50               0.703                  0.423                  -8.589                 0.0385                 0                      0.0476                 0.265                  121.991                263142
rap                                                                                                                                                                                                                                                              55               0.67                   0.868                  -6.738                 0.177                  0                      0.666                  0.679                  140.236                218445
rap                                                                                                                                                                                                                                                              69               0.893                  0.48                   -3.728                 0.00854                0                      0.116                  0.382                  86.976                 170638
rap                                                                                                                                                                                                                                                              52               0.683                  0.664                  -6.644                 0.0217                 0                      0.347                  0.444                  148.808                173844
rap                                                                                                                                                                                                                                                              57               0.747                  0.538                  -5.217                 0.0333                 0                      0.116                  0.338                  93.937                 204324
rap                                                                                                                                                                                                                                                              73               0.658                  0.535                  -8.983                 0.0265                 0                      0.2                    0.419                  110.684                227360
rap                                                                                                                                                                                                                                                              69               0.546                  0.667                  -5.236                 0.0152                 0                      0.0895                 0.471                  87.666                 269693
rap                                                                                                                                                                                                                                                              75               0.852                  0.553                  -7.286                 0.0563                 0                      0.332                  0.656                  142.072                205879
rap                                                                                                                                                                                                                                                              54               0.798                  0.553                  -6.296                 0.102                  0                      0.113                  0.158                  144.052                186680
rap                                                                                                                                                                                                                                                              59               0.967                  0.646                  -4.818                 0.0242                 2.31E-06               0.0916                 0.2                    124.994                203000
rap                                                                                                                                                                                                                                                              6                0.558                  0.521                  -10.125                0.0874                 2.99E-06               0.21                   0.287                  107.299                236893
rap                                                                                                                                                                                                                                                              65               0.959                  0.598                  -5.534                 0.0358                 0                      0.358                  0.408                  127.029                213000
rap                                                                                                                                                                                                                                                              67               0.415                  0.926                  -1.304                 0.253                  0                      0.256                  0.542                  158.423                357347
rap                                                                                                                                                                                                                                                              85               0.581                  0.662                  -5.239                 0.0153                 0                      0.111                  0.434                  93.023                 189487
rap                                                                                                                                                                                                                                                              94               0.598                  0.427                  -8.764                 0.0546                 5.83E-06               0.21                   0.0605                 76.469                 175721
rap                                                                                                                                                                                                                                                              84               0.703                  0.594                  -6.146                 0.342                  0                      0.123                  0.475                  153.848                114893
rap                                                                                                                                                                                                                                                              31               0.68                   0.559                  -5.545                 0.172                  0                      0.318                  0.137                  202.006                194520
rap                                                                                                                                                                                                                                                              85               0.889                  0.496                  -6.365                 0.259                  0                      0.252                  0.544                  86.003                 180522
rap                                                                                                                                                                                                                                                              73               0.698                  0.66                   -7.883                 0.0226                 0                      0.0622                 0.451                  159.949                248521
rap                                                                                                                                                                                                                                                              79               0.784                  0.517                  -8.981                 0.0249                 1.44E-06               0.155                  0.206                  97.991                 200187
rap                                                                                                                                                                                                                                                              82               0.883                  0.525                  -8.054                 0.189                  0                      0.0971                 0.312                  99.978                 174100
rap                                                                                                                                                                                                                                                              84               0.897                  0.662                  -6.903                 0.0852                 0                      0.534                  0.389                  112.511                145543
rap                                                                                                                                                                                                                                                              80               0.661                  0.44                   -9.104                 0.457                  0                      0.128                  0.352                  149.937                230400
rap                                                                                                                                                                                                                                                              8                0.716                  0.614                  -9.761                 0.011                  0                      0.103                  0.247                  100.044                172806
rap                                                                                                                                                                                                                                                              62               0.715                  0.691                  -5.405                 0.413                  0                      0.166                  0.381                  93.024                 208103
rap                                                                                                                                                                                                                                                              65               0.812                  0.681                  -6.869                 0.0978                 1.07E-06               0.126                  0.451                  96.516                 167975
rap                                                                                                                                                                                                                                                              79               0.767                  0.709                  -4.47                  0.323                  0                      0.0676                 0.72                   171.993                258639
rap                                                                                                                                                                                                                                                              0                0.729                  0.519                  -3.843                 0.406                  0                      0.196                  0.46                   120.059                181850
rap                                                                                                                                                                                                                                                              61               0.784                  0.761                  -4.253                 0.108                  5.05E-05               0.05                   0.385                  105.005                204989
